iter	Passed	Remaining
0	36	11025
1	69	10356
2	102	10194
3	139	10331
4	176	10416
5	216	10608
6	250	10468
7	285	10428
8	322	10412
9	356	10351
10	388	10208
11	417	10022
12	444	9822
13	472	9653
14	500	9509
15	527	9371
16	554	9227
17	591	9263
18	616	9114
19	646	9053
20	677	9005
21	708	8951
22	743	8960
23	774	8907
24	799	8795
25	824	8691
26	855	8649
27	882	8572
28	906	8471
29	937	8438
30	973	8445
31	1001	8389
32	1034	8372
33	1059	8291
34	1090	8257
35	1125	8252
36	1150	8177
37	1176	8113
38	1202	8046
39	1228	7983
40	1252	7909
41	1282	7880
42	1309	7826
43	1333	7758
44	1366	7743
45	1506	8320
46	1551	8349
47	1585	8325
48	1611	8252
49	1638	8192
50	1668	8145
51	1692	8072
52	1724	8034
53	1750	7974
54	1777	7918
55	1803	7858
56	1833	7814
57	1859	7757
58	1884	7698
59	1909	7636
60	1934	7579
61	1964	7540
62	1990	7488
63	2017	7440
64	2045	7393
65	2073	7350
66	2103	7314
67	2129	7266
68	2155	7216
69	2182	7170
70	2208	7124
71	2241	7098
72	2270	7060
73	2301	7029
74	2334	7003
75	2366	6975
76	2405	6966
77	2432	6922
78	2460	6882
79	2493	6856
80	2520	6815
81	2548	6774
82	2575	6733
83	2602	6692
84	2629	6650
85	2660	6621
86	2689	6585
87	2717	6547
88	2743	6505
89	2771	6466
90	2800	6430
91	2826	6389
92	2853	6351
93	2881	6314
94	2909	6279
95	2938	6245
96	2965	6205
97	2991	6166
98	3018	6127
99	3044	6089
100	3076	6060
101	3102	6023
102	3129	5985
103	3156	5949
104	3183	5911
105	3209	5874
106	3240	5844
107	3267	5808
108	3305	5792
109	3340	5770
110	3373	5743
111	3408	5721
112	3437	5688
113	3471	5663
114	3499	5629
115	3527	5594
116	3554	5559
117	3580	5522
118	3607	5487
119	3635	5453
120	3665	5423
121	3691	5386
122	3718	5350
123	3744	5315
124	3770	5279
125	3787	5230
126	3799	5175
127	3810	5120
128	3822	5067
129	3834	5014
130	3846	4962
131	3857	4909
132	3869	4858
133	3882	4809
134	3894	4759
135	3905	4709
136	3917	4660
137	3928	4612
138	3940	4564
139	3952	4516
140	3964	4471
141	3977	4425
142	3988	4379
143	4000	4334
144	4012	4289
145	4025	4246
146	4037	4202
147	4051	4160
148	4063	4117
149	4075	4075
150	4087	4033
151	4099	3991
152	4112	3950
153	4124	3909
154	4135	3868
155	4147	3828
156	4160	3789
157	4171	3749
158	4184	3710
159	4196	3671
160	4208	3633
161	4220	3595
162	4232	3556
163	4243	3519
164	4255	3481
165	4266	3444
166	4280	3409
167	4292	3372
168	4304	3336
169	4315	3300
170	4327	3264
171	4339	3229
172	4352	3195
173	4364	3160
174	4375	3125
175	4387	3091
176	4398	3056
177	4412	3024
178	4425	2991
179	4437	2958
180	4449	2925
181	4461	2892
182	4472	2859
183	4484	2826
184	4495	2794
185	4507	2762
186	4519	2730
187	4531	2699
188	4542	2667
189	4554	2636
190	4566	2605
191	4578	2575
192	4590	2545
193	4601	2514
194	4615	2485
195	4628	2456
196	4639	2425
197	4652	2396
198	4664	2367
199	4675	2337
200	4687	2308
201	4698	2279
202	4710	2250
203	4721	2222
204	4733	2193
205	4744	2165
206	4756	2137
207	4768	2109
208	4779	2081
209	4791	2053
210	4803	2026
211	4815	1998
212	4826	1971
213	4838	1944
214	4849	1917
215	4861	1890
216	4872	1863
217	4884	1837
218	4896	1810
219	4907	1784
220	4919	1758
221	4930	1732
222	4942	1706
223	4953	1680
224	4964	1654
225	4975	1629
226	4987	1603
227	4998	1578
228	5009	1553
229	5021	1528
230	5034	1503
231	5046	1479
232	5057	1454
233	5080	1433
234	5108	1412
235	5134	1392
236	5159	1371
237	5189	1351
238	5214	1331
239	5240	1310
240	5267	1289
241	5292	1268
242	5319	1247
243	5347	1227
244	5374	1206
245	5399	1185
246	5430	1165
247	5463	1145
248	5490	1124
249	5518	1103
250	5544	1082
251	5570	1060
252	5598	1040
253	5626	1019
254	5652	997
255	5678	975
256	5704	954
257	5730	932
258	5755	911
259	5781	889
260	5806	867
261	5832	845
262	5859	824
263	5889	803
264	5915	781
265	5944	759
266	5971	738
267	5998	716
268	6024	694
269	6050	672
270	6076	650
271	6102	628
272	6129	606
273	6153	583
274	6181	561
275	6207	539
276	6232	517
277	6261	495
278	6292	473
279	6319	451
280	6350	429
281	6376	406
282	6402	384
283	6433	362
284	6465	340
285	6490	317
286	6518	295
287	6544	272
288	6572	250
289	6602	227
290	6631	205
291	6658	182
292	6688	159
293	6717	137
294	6745	114
295	6772	91
296	6798	68
297	6825	45
298	6854	22
299	6880	0
